OYO ID,Hotel ID,OYO Product,Feedback ID,Booking ID,Source,Rating,L1,L2,Reviews/Comments,AC,TV,Wifi,Heater,Room,Washroom,Infra,Safety & Security,Check-in/Check-out,Staff & Service,Hygiene,Comfort,Direction,Location,Customer Support,Breakfast,Food,Payment,Pricing,Default,Classification
BLR1747,76403,Homes,60896795,121570575,bulk_upload,0,,,good for staying with families/couples and for vacations. good services. Clean rooms and spacious rooms. They provide induction and utensils for cooking too.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Good
IND040,4638,SMART,60952819,122350428,Android App,1,,,the room was shown in the picture was not same. room was very dirty and have unpleasant smell. insects are roaming everywhere. the bed was broken. worst hotel I ever stay,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
NAN178,15680,Homes,60744633,119610811,Crs,1,,,it was very bad. room was very dirty. hotel location was totally different in the google map. & price was very bad. there was no parking area. experience was very bad.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Bad
JAI627,46351,SMART,60280032,119223220,Android App,1,,,"morning reception staff was very rude, he misbehaived with me and also my wife, he abused to both of us and also not returned  our balance amout aprox 300-350",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Discard
GOA2485,55112,SPOT ON,60494055,119235884,bulk_upload,0,,,"Value for money. 
 Suitable for family and also solo. 
 Polite staffs. 
 Active pool and restaurant. 
 good parking lot. 
 good entrance. 
 A little far from beach.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Good
KNY026,56496,SMART,60399778,118398730,Crs,2,,,Room was not clean. Booked ac room provided non-ac room. OYO care did not resolve the issue. They did not call back as they promised. They did not change the bed sheet.,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Discard
KOT065,59300,SMART,60911416,118722535,bulk_upload,0,,,"It is quite good place to stay for those people, who wants to meet their ward (studying in allen, landmark City, KUNHARI, Kota). It is near to Allen's SANGYAN building.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Good
JPG004,48688,SMART,60841764,119740624,Crs,1,,,there is no WiFi and hotel has tell to guest we have not tipped from OYO and they take extra amount and bad service was very bad and no water supply in hotel...........,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Discard
BLR1813,79086,SMART,61047933,122266277,Integrated OTA,1,,,. The room is clean n. Complementary breakfast is not included the staff was very much rude when I have asked for the same.nWater is not coming from the sink,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
ROU006,45589,SMART,61205923,120071044,bulk_upload,0,,,"The manager was denied for booking online I was booked for Rs837/ per room but he is charged for me Rs1400, very third class behaviour & maintenance of the hotel",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Discard
